id,sentence,sub_entity,obj_entity,label
0,고구려의 대막리지[OBJ] 연개소문[OBJ]의 아들[SUB] 연남생[SUB]은 동생들과의 권력 다툼에서 패하자 당 고종에 귀순하여 앞장서 요동지역을 무너뜨리고 이세적과 함께 평양성을 무너뜨린 적이 있다.,"{'word': '연남생', 'start_idx': 19, 'end_idx': 21, 'type': 'PER'}","{'word': '연개소문', 'start_idx': 10, 'end_idx': 13, 'type': 'PER'}",per:parents
1,[SUB] 애비코니쉬 [SUB]는 [OBJ]호주 [OBJ]출신의 여배우로 필리피와 리즈의 이혼 전부터 필리피와는 절친한 친구였던 것으로 알려졌지만 각종 언론은 애비가 두 사람의 이혼에 적지 않은 영향을 미쳤다고 보도했다.,"{'word': '애비 코니시', 'start_idx': 0, 'end_idx': 5, 'type': 'PER'}","{'word': '오스트레일리아', 'start_idx': 8, 'end_idx': 14, 'type': 'LOC'}",per:origin
2,"알렉산드라(Alexandra Christina, Countessaf Frederiksborg, 1964년 6월 30일 - )는 덴마크의 귀족으로 [SUB] 마르그레테 2세 [SUB]의 차남 [OBJ] 요아킴 [OBJ] 왕자의 전 부인이다.","{'word': '마르그레테 2세', 'start_idx': 81, 'end_idx': 88, 'type': 'PER'}","{'word': '요아킴', 'start_idx': 95, 'end_idx': 97, 'type': 'PER'}",per:children
3,"일본제국 [OBJ] 관동군 [OBJ] 소속의 '통나무(껍질만 벗긴)'라는 암호명으로 특별계획을 실행한 [SUB]731부대 [SUB]는 생화학무기의 개발, 연구과정에서 1만 명에 가까운 식민지 주민 및 전쟁포로를 반인륜적인 생체실험에 의해 살해했다.","{'word': '731부대', 'start_idx': 66, 'end_idx': 70, 'type': 'ORG'}","{'word': '관동군', 'start_idx': 6, 'end_idx': 8, 'type': 'ORG'}",org:member_of
4,"[SUB] 광주여대 [SUB] [OBJ] 이성재 [OBJ] 총장은 인사말을 통해 ""교실에서도, 무대 위에서도 열심히 하는 학생 여러분이 너무 멋지고 훌륭하다""며 ""지금처럼 포기하지 않고 노력해서 본인이 원하는 꿈을 꼭 이루길 바란다""고 격려했다.","{'word': '광주여대', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}","{'word': '이선재', 'start_idx': 5, 'end_idx': 7, 'type': 'PER'}",org:top_members/employees
5,[SUB] 롯데 자이언츠 [SUB] [OBJ] 안지현 [OBJ] 치어리더가 악플을 달았어,"{'word': '롯데 자이언츠', 'start_idx': 0, 'end_idx': 6, 'type': 'ORG'}","{'word': '안지현', 'start_idx': 8, 'end_idx': 10, 'type': 'PER'}",org:top_members/employees
6,"전공분야 과목보다 [OBJ]김일성[OBJ]김정일[SUB]김정숙[SUB]을 우상화하는 과목의 비중이 더 크게 나타나며, 학생들의 실력을 평가하는 부분에서도 3김을 우상화하는 과목의 비중이 전공분야보다 오히려 크게 설정될 수 있다.","{'word': '김정숙', 'start_idx': 19, 'end_idx': 21, 'type': 'PER'}","{'word': '김일성', 'start_idx': 11, 'end_idx': 13, 'type': 'PER'}",no_relation
7,일자리[OBJ] 노동부[OBJ](광주지방고용[SUB]노동청[SUB])과 광주광역시는 지역우수중소기업 홍보와 일자리 확대를 위한「2019 광주굿잡 페스티벌」을 10월 30일 김대중 컨벤션센터 4층 컨벤션홀에서 개최했다.,"{'word': '노동청', 'start_idx': 12, 'end_idx': 14, 'type': 'ORG'}","{'word': '노동부', 'start_idx': 2, 'end_idx': 4, 'type': 'ORG'}",org:alternate_names
8,"[SUB]만네르헤임[SUB]은 1951년 1월 27일(협정 세계시), 핀란드 시간으로는 1월 28일 [OBJ] 스위스의 로잔 [OBJ]의 주립병원에서 사망했다.","{'word': '만네르헤임', 'start_idx': 0, 'end_idx': 4, 'type': 'PER'}","{'word': '스위스 로잔', 'start_idx': 46, 'end_idx': 51, 'type': 'LOC'}",per:place_of_death
9,"[SUB] 전국시도교육감협의회 [SUB](회장 [OBJ] 김승환 [OBJ], 이하 '협의회')는 지난 3월 제66차 총회에서 학교비정규직 연대회의(이하 '노조'라 한다)와 집단협상을 의결한 후 4월 24일부터 절차협의를 시작하여 15일 극적인 타결을 보았다.","{'word': '전국시도교육감협의회', 'start_idx': 0, 'end_idx': 9, 'type': 'ORG'}","{'word': '김승환', 'start_idx': 14, 'end_idx': 16, 'type': 'PER'}",org:top_members/employees
10,"조양호 회장과 김종덕 장관은 [OBJ]스위스 로잔에 위치한 국제올림픽위원회(IOC) 본부를 방문, 2018년 평창 동계올림픽 마스코트를 진돗개로 변경할 것을 요구했으나 [SUB]IOC [SUB]는 한국의 개고기 문화와 관련된 부정적인 이미지를 연상시킨다며 반대 입장을 표명했다.","{'word': 'IOC', 'start_idx': 95, 'end_idx': 97, 'type': 'ORG'}","{'word': '스위스 로잔', 'start_idx': 16, 'end_idx': 21, 'type': 'LOC'}",org:place_of_headquarters
11,"새 보수당 유승민 인재영입위원장은 3.9, 박원순 서울시장 3.6, 안철수 전 의원 3.3, [OBJ] 정의당 [OBJ] [SUB] 심상정 [SUB] 대표 2.7, 오세훈 전 서울시장 2.7, 김경수 경남지사 2.1 순이다.","{'word': '심상정', 'start_idx': 60, 'end_idx': 62, 'type': 'PER'}","{'word': '정의당', 'start_idx': 56, 'end_idx': 58, 'type': 'ORG'}",per:employee_of
12,[SUB] 광주광역시[SUB](시장[OBJ] 이용섭[OBJ])이 지역 자동차부품기업의 기술경쟁력 확보를 위해 실시한 '초경량 차체섀시 부품기술개발사업'이 큰 성과를 거두었다.,"{'word': '광주광역시', 'start_idx': 0, 'end_idx': 4, 'type': 'ORG'}","{'word': '이용섭', 'start_idx': 9, 'end_idx': 11, 'type': 'PER'}",org:top_members/employees
13,"이번 시리즈 첫 선제 득점. 그러나 삼성은 4회말 곧바로 무사 1,3루의 기회를 잡았고 김성래의 [OBJ]우익수[OBJ]희생플라이, [SUB]양준혁[SUB]의 중견수 앞 적시타로 동점을 만든 뒤 계속된 2사 2,3루에서 김성현이 2타점 좌중간 2루타를 날려 4-2로 역전에 성공했다.","{'word': '양준혁', 'start_idx': 65, 'end_idx': 67, 'type': 'PER'}","{'word': '우익수', 'start_idx': 54, 'end_idx': 56, 'type': 'POH'}",no_relation
14,"당시 40세의 중년 유학생 홍정우는 [OBJ] 프랑스 [OBJ] 유학 기간 중 열강 제국주의 세력의 본질에 대해 알기 시작했고, [SUB] 기메 박물관 [SUB](프랑스 국립 기메 동양 박물관, Musenational des Artsasiatiques-Guimet) 등에서 일하면서 <춘향전>, <심청전>, <심청전> 등에서 번역했다.","{'word': '기메박물관', 'start_idx': 61, 'end_idx': 65, 'type': 'ORG'}","{'word': '프랑스', 'start_idx': 20, 'end_idx': 22, 'type': 'LOC'}",org:place_of_headquarters
15,"[SUB] 호비뉴[SUB]는 조별리그에서 [OBJ] 브라질[OBJ]이 기록한 4골을 혼자 기록했는데, 칠레와의 조별리그 경기에서 해트트릭으로 브라질의 완승을 이끌었고 1-0으로 이긴 에콰도르전에서도 페널티킥 골을 넣었다.","{'word': '호비뉴', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '브라질', 'start_idx': 13, 'end_idx': 15, 'type': 'ORG'}",per:origin
16,"2005년 여름, 트라파토니는 [OBJ]분데스리가[OBJ]의 [SUB]VfB 슈투트가르트[SUB]와 계약하고 독일 축구계에 7년 만에 복귀했다.","{'word': 'VfB 슈투트가르트', 'start_idx': 24, 'end_idx': 33, 'type': 'ORG'}","{'word': '분데스리가', 'start_idx': 17, 'end_idx': 21, 'type': 'ORG'}",org:member_of
